H (km)	 Vs (m/s)	 Vi 
0	7909.68	8.33875e-13
10	7903.48	8.34528e-13
20	7897.29	8.35179e-13
30	7891.12	8.35827e-13
40	7884.97	8.36472e-13
50	7878.82	8.37115e-13
60	7872.7	8.37756e-13
70	7866.58	8.38394e-13
80	7860.48	8.39029e-13
90	7854.4	8.39663e-13
100	7848.33	8.40293e-13
110	7842.27	8.40922e-13
120	7836.23	8.41548e-13
130	7830.2	8.42171e-13
140	7824.18	8.42792e-13
150	7818.18	8.43411e-13
160	7812.19	8.44027e-13
170	7806.22	8.44642e-13
180	7800.26	8.45253e-13
190	7794.31	8.45863e-13
200	7788.38	8.4647e-13
210	7782.46	8.47075e-13
220	7776.55	8.47678e-13
230	7770.66	8.48278e-13
240	7764.78	8.48876e-13
250	7758.91	8.49472e-13
260	7753.06	8.50066e-13
270	7747.22	8.50657e-13
280	7741.4	8.51247e-13
290	7735.58	8.51834e-13
300	7729.78	8.52419e-13
310	7724	8.53002e-13
320	7718.22	8.53582e-13
330	7712.46	8.54161e-13
340	7706.71	8.54737e-13
350	7700.98	8.55312e-13
360	7695.25	8.55884e-13
370	7689.54	8.56454e-13
380	7683.85	8.57022e-13
390	7678.16	8.57588e-13
400	7672.49	8.58152e-13
410	7666.83	8.58714e-13
420	7661.18	8.59274e-13
430	7655.55	8.59832e-13
440	7649.93	8.60388e-13
450	7644.32	8.60942e-13
460	7638.72	8.61494e-13
470	7633.14	8.62044e-13
480	7627.56	8.62592e-13
490	7622	8.63138e-13
500	7616.45	8.63683e-13
510	7610.92	8.64225e-13
520	7605.39	8.64765e-13
530	7599.88	8.65304e-13
540	7594.38	8.6584e-13
550	7588.89	8.66375e-13
560	7583.41	8.66908e-13
570	7577.95	8.67439e-13
580	7572.5	8.67968e-13
590	7567.06	8.68495e-13
600	7561.63	8.6902e-13
