t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	2.68745e-06	5.90458e-06
1	0.000145444	0.000423406	0.000930262
2	0.000290888	0.000858197	0.00188554
3	0.000436332	0.00127892	0.00280989
4	0.000581776	0.00168556	0.00370333
5	0.000727221	0.00211166	0.00463949
6	0.000872665	0.00254645	0.00559476
7	0.00101811	0.00296716	0.00651911
8	0.00116355	0.00340196	0.00747438
9	0.001309	0.00382267	0.00839872
10	0.00145444	0.00422932	0.00929215
11	0.00159989	0.00465541	0.0102283
12	0.00174533	0.00508483	0.0111717
13	0.00189077	0.00551092	0.0121079
14	0.00203622	0.00593164	0.0130322
15	0.00218166	0.00636643	0.0139874
16	0.00232711	0.00677308	0.0148809
17	0.00247255	0.00719917	0.015817
18	0.00261799	0.00761989	0.0167413
19	0.00276344	0.00805468	0.0176965
20	0.00290888	0.0084754	0.0186208
21	0.00305433	0.00891019	0.019576
22	0.00319977	0.00933091	0.0205003
23	0.00334521	0.00973756	0.0213936
24	0.00349066	0.0101637	0.0223297
25	0.0036361	0.0105931	0.0232731
26	0.00378155	0.0110192	0.0242092
27	0.00392699	0.011454	0.0251643
28	0.00407243	0.0118747	0.0260886
29	0.00421788	0.0122813	0.0269819
30	0.00436332	0.0127074	0.0279179
31	0.00450877	0.0131281	0.0288421
32	0.00465421	0.0135629	0.0297972
33	0.00479966	0.0139836	0.0307214
34	0.0049451	0.0144184	0.0316765
35	0.00509054	0.0148391	0.0326007
36	0.00523599	0.0152458	0.0334939
37	0.00538143	0.0156719	0.0344299
38	0.00552688	0.0161013	0.0353731
39	0.00567232	0.0165274	0.036309
40	0.00581776	0.0169622	0.037264
41	0.00596321	0.0173829	0.0381881
42	0.00610865	0.0177896	0.0390813
43	0.0062541	0.0182156	0.0400172
44	0.00639954	0.0186364	0.0409412
45	0.00654498	0.0190712	0.0418962
46	0.00669043	0.0194919	0.0428202
47	0.00683587	0.0199267	0.0437751
48	0.00698132	0.0203474	0.0446991
49	0.00712676	0.020754	0.0455922
50	0.00727221	0.0211801	0.046528
51	0.00741765	0.0216149	0.0474828
52	0.00756309	0.0220356	0.0484068
53	0.00770854	0.0224423	0.0492998
54	0.00785398	0.0228911	0.0502855
55	0.00799943	0.0232978	0.0511785
56	0.00814487	0.0237239	0.0521142
57	0.00829031	0.0241446	0.053038
58	0.00843576	0.0245794	0.0539927
59	0.0085812	0.0250001	0.0549166
60	0.00872665	0.0254068	0.0558095
61	0.00887209	0.0258415	0.0567641
62	0.00901753	0.0262623	0.0576879
63	0.00916298	0.0266884	0.0586234
