t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	-1.90735e-06	6.28318
1	0.000145444	0.000418195	0.000918812
2	0.000290888	0.000849741	0.00186696
3	0.000436332	0.00126984	0.00278996
4	0.000581776	0.00168995	0.00371296
5	0.000727221	0.00212149	0.0046611
6	0.000872665	0.00254159	0.0055841
7	0.00101811	0.0029617	0.0065071
8	0.00116355	0.00339324	0.00745524
9	0.001309	0.00381335	0.00837823
10	0.00145444	0.00423345	0.00930122
11	0.00159989	0.00466499	0.0102493
12	0.00174533	0.0050851	0.0111723
13	0.00189077	0.0055052	0.0120953
14	0.00203622	0.00593675	0.0130434
15	0.00218166	0.00635685	0.0139664
16	0.00232711	0.00677695	0.0148894
17	0.00247255	0.0072085	0.0158375
18	0.00261799	0.0076286	0.0167604
19	0.00276344	0.0080487	0.0176834
20	0.00290888	0.00848025	0.0186314
21	0.00305433	0.00890035	0.0195544
22	0.00319977	0.00932045	0.0204773
23	0.00334521	0.009752	0.0214254
24	0.00349066	0.0101721	0.0223483
25	0.0036361	0.0105922	0.0232712
26	0.00378155	0.0110123	0.0241941
27	0.00392699	0.0114439	0.0251421
28	0.00407243	0.011864	0.026065
29	0.00421788	0.0122841	0.0269879
30	0.00436332	0.0127156	0.0279359
31	0.00450877	0.0131357	0.0288587
32	0.00465421	0.0135558	0.0297816
33	0.00479966	0.0139874	0.0307296
34	0.0049451	0.0144075	0.0316524
35	0.00509054	0.0148276	0.0325752
36	0.00523599	0.0152591	0.0335231
37	0.00538143	0.0156792	0.0344459
38	0.00552688	0.0160993	0.0353687
39	0.00567232	0.0165309	0.0363166
40	0.00581776	0.016951	0.0372394
41	0.00596321	0.0173711	0.0381621
42	0.00610865	0.0177912	0.0390849
43	0.0062541	0.0182227	0.0400327
44	0.00639954	0.0186428	0.0409554
45	0.00654498	0.0190629	0.0418781
46	0.00669043	0.0194945	0.0428259
47	0.00683587	0.0199146	0.0437486
48	0.00698132	0.0203347	0.0446712
49	0.00712676	0.0207662	0.045619
50	0.00727221	0.0211863	0.0465416
51	0.00741765	0.0216064	0.0474642
52	0.00756309	0.022038	0.0484119
53	0.00770854	0.0224581	0.0493345
54	0.00785398	0.0228782	0.050257
55	0.00799943	0.0232983	0.0511796
56	0.00814487	0.0237298	0.0521272
57	0.00829031	0.0241499	0.0530497
58	0.00843576	0.02457	0.0539722
59	0.0085812	0.0250016	0.0549198
60	0.00872665	0.0254217	0.0558422
61	0.00887209	0.0258418	0.0567646
62	0.00901753	0.0262733	0.0577122
63	0.00916298	0.0266934	0.0586345
64	0.00930842	0.0271135	0.0595569
65	0.00945387	0.0275336	0.0604792
66	0.00959931	0.0279652	0.0614267
67	0.00974475	0.0283853	0.062349
68	0.0098902	0.0288054	0.0632713
69	0.0100356	0.0292369	0.0642187
70	0.0101811	0.029657	0.0651409
71	0.0103265	0.0300771	0.0660631
72	0.010472	0.0304972	0.0669853
73	0.0106174	0.0309288	0.0679326
74	0.0107629	0.0313489	0.0688548
75	0.0109083	0.031769	0.0697769
76	0.0110538	0.0322005	0.0707241
77	0.0111992	0.0326206	0.0716462
78	0.0113446	0.0330407	0.0725682
79	0.0114901	0.0334608	0.0734902
80	0.0116355	0.0338924	0.0744374
81	0.011781	0.0343125	0.0753593
82	0.0119264	0.0347326	0.0762813
83	0.0120719	0.0351641	0.0772283
84	0.0122173	0.0355842	0.0781502
85	0.0123627	0.0360043	0.0790721
86	0.0125082	0.0364244	0.079994
87	0.0126536	0.036856	0.0809409
88	0.0127991	0.0372761	0.0818627
89	0.0129445	0.0376962	0.0827844
90	0.01309	0.0381163	0.0837062
91	0.0132354	0.0385478	0.084653
92	0.0133809	0.0389679	0.0855747
93	0.0135263	0.039388	0.0864963
94	0.0136717	0.0398196	0.087443
95	0.0138172	0.0402397	0.0883646
96	0.0139626	0.0406598	0.0892862
97	0.0141081	0.0410799	0.0902077
98	0.0142535	0.0415114	0.0911543
99	0.014399	0.0419315	0.0920758
100	0.0145444	0.0423516	0.0929972
101	0.0146899	0.0427717	0.0939186
102	0.0148353	0.0432033	0.0948651
103	0.0149807	0.0436234	0.0957865
104	0.0151262	0.0440435	0.0967078
105	0.0152716	0.0444636	0.097629
106	0.0154171	0.0448951	0.0985754
107	0.0155625	0.0453153	0.0994966
108	0.015708	0.0457354	0.100418
109	0.0158534	0.0461555	0.101339
110	0.0159989	0.046587	0.102285
111	0.0161443	0.0470071	0.103206
112	0.0162897	0.0474272	0.104127
113	0.0164352	0.0478473	0.105048
114	0.0165806	0.0482789	0.105994
115	0.0167261	0.048699	0.106915
116	0.0168715	0.0491191	0.107836
117	0.017017	0.0495392	0.108757
118	0.0171624	0.0499593	0.109678
119	0.0173078	0.0503908	0.110624
120	0.0174533	0.0508109	0.111544
121	0.0175987	0.051231	0.112465
122	0.0177442	0.0516511	0.113386
123	0.0178896	0.0520827	0.114332
124	0.0180351	0.0525028	0.115252
125	0.0181805	0.0529229	0.116173
126	0.018326	0.053343	0.117093
127	0.0184714	0.0537631	0.118014
128	0.0186168	0.0541946	0.118959
129	0.0187623	0.0546147	0.11988
130	0.0189077	0.0550348	0.1208
131	0.0190532	0.0554549	0.12172
132	0.0191986	0.0558865	0.122666
133	0.0193441	0.0563066	0.123586
134	0.0194895	0.0567267	0.124506
135	0.019635	0.0571468	0.125426
136	0.0197804	0.0575669	0.126346
137	0.0199258	0.0579984	0.127291
138	0.0200713	0.0584185	0.128211
139	0.0202167	0.0588386	0.129131
140	0.0203622	0.0592587	0.130051
141	0.0205076	0.0596788	0.130971
142	0.0206531	0.0601104	0.131916
143	0.0207985	0.0605305	0.132836
144	0.020944	0.0609506	0.133756
145	0.0210894	0.0613707	0.134675
146	0.0212348	0.0617908	0.135595
147	0.0213803	0.0622223	0.13654
148	0.0215257	0.0626424	0.137459
149	0.0216712	0.0630625	0.138379
150	0.0218166	0.0634826	0.139298
151	0.0219621	0.0639027	0.140218
152	0.0221075	0.0643229	0.141137
153	0.0222529	0.0647544	0.142082
154	0.0223984	0.0651745	0.143001
155	0.0225438	0.0655946	0.14392
156	0.0226893	0.0660147	0.144839
157	0.0228347	0.0664348	0.145758
158	0.0229802	0.0668549	0.146677
159	0.0231256	0.0672865	0.147622
160	0.0232711	0.0677066	0.148541
161	0.0234165	0.0681267	0.14946
162	0.0235619	0.0685468	0.150378
163	0.0237074	0.0689669	0.151297
164	0.0238528	0.069387	0.152216
165	0.0239983	0.0698185	0.15316
166	0.0241437	0.0702386	0.154079
167	0.0242892	0.0706587	0.154997
168	0.0244346	0.0710788	0.155916
169	0.0245801	0.0714989	0.156834
170	0.0247255	0.071919	0.157753
171	0.0248709	0.0723391	0.158671
172	0.0250164	0.0727707	0.159615
173	0.0251618	0.0731908	0.160533
174	0.0253073	0.0736109	0.161451
175	0.0254527	0.074031	0.162369
176	0.0255982	0.0744511	0.163288
177	0.0257436	0.0748712	0.164206
178	0.0258891	0.0752913	0.165124
179	0.0260345	0.0757114	0.166042
180	0.0261799	0.0761429	0.166985
181	0.0263254	0.076563	0.167903
182	0.0264708	0.0769831	0.16882
183	0.0266163	0.0774032	0.169738
184	0.0267617	0.0778233	0.170656
185	0.0269072	0.0782434	0.171574
186	0.0270526	0.0786636	0.172491
187	0.027198	0.0790837	0.173409
188	0.0273435	0.0795038	0.174326
189	0.0274889	0.0799239	0.175244
190	0.0276344	0.0803554	0.176186
191	0.0277798	0.0807755	0.177103
192	0.0279253	0.0811956	0.178021
193	0.0280707	0.0816157	0.178938
194	0.0282162	0.0820358	0.179855
195	0.0283616	0.0824559	0.180772
196	0.028507	0.082876	0.181689
197	0.0286525	0.0832961	0.182606
198	0.0287979	0.0837162	0.183523
199	0.0289434	0.0841363	0.18444
200	0.0290888	0.0845564	0.185356
201	0.0292343	0.0849765	0.186273
202	0.0293797	0.0853966	0.18719
203	0.0295252	0.0858282	0.188131
204	0.0296706	0.0862483	0.189048
205	0.029816	0.0866684	0.189964
206	0.0299615	0.0870885	0.190881
207	0.0301069	0.0875086	0.191797
208	0.0302524	0.0879287	0.192713
209	0.0303978	0.0883488	0.193629
210	0.0305433	0.0887689	0.194546
211	0.0306887	0.089189	0.195462
212	0.0308342	0.0896091	0.196378
213	0.0309796	0.0900292	0.197294
214	0.031125	0.0904493	0.198209
215	0.0312705	0.0908694	0.199125
216	0.0314159	0.0912895	0.200041
217	0.0315614	0.0917096	0.200957
218	0.0317068	0.0921297	0.201872
219	0.0318523	0.0925498	0.202788
220	0.0319977	0.0929699	0.203703
221	0.0321431	0.09339	0.204619
222	0.0322886	0.0938101	0.205534
223	0.032434	0.0942302	0.206449
224	0.0325795	0.0946503	0.207364
225	0.0327249	0.0950704	0.20828
226	0.0328704	0.0954905	0.209195
227	0.0330158	0.0959106	0.21011
228	0.0331613	0.0963307	0.211025
229	0.0333067	0.0967508	0.211939
230	0.0334521	0.0971709	0.212854
231	0.0335976	0.097591	0.213769
232	0.033743	0.0980111	0.214684
233	0.0338885	0.0984312	0.215598
234	0.0340339	0.0988513	0.216513
235	0.0341794	0.0992715	0.217427
236	0.0343248	0.0996916	0.218341
237	0.0344703	0.100112	0.219256
238	0.0346157	0.100532	0.22017
239	0.0347611	0.100952	0.221084
240	0.0349066	0.101372	0.221998
241	0.035052	0.101792	0.222912
242	0.0351975	0.102212	0.223826
243	0.0353429	0.102632	0.22474
244	0.0354884	0.103052	0.225654
245	0.0356338	0.103472	0.226567
246	0.0357792	0.103893	0.227481
247	0.0359247	0.104313	0.228394
248	0.0360701	0.104733	0.229308
249	0.0362156	0.105153	0.230221
250	0.036361	0.105562	0.23111
251	0.0365065	0.105982	0.232023
252	0.0366519	0.106402	0.232936
253	0.0367974	0.106822	0.233849
254	0.0369428	0.107242	0.234762
255	0.0370882	0.107662	0.235675
256	0.0372337	0.108082	0.236588
257	0.0373791	0.108502	0.237501
258	0.0375246	0.108922	0.238413
259	0.03767	0.109342	0.239326
260	0.0378155	0.109763	0.240239
261	0.0379609	0.110171	0.241126
262	0.0381064	0.110591	0.242039
263	0.0382518	0.111011	0.242951
264	0.0383972	0.111432	0.243863
265	0.0385427	0.111852	0.244775
266	0.0386881	0.112272	0.245687
267	0.0388336	0.112692	0.246599
268	0.038979	0.113112	0.247511
269	0.0391245	0.113532	0.248423
270	0.0392699	0.113941	0.24931
271	0.0394154	0.114361	0.250221
