t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0	0	0
1	0.000145444	0.000423766	0.000931053
2	0.000290888	0.000847533	0.00186211
3	0.000436332	0.0012713	0.00279316
4	0.000581776	0.00169506	0.00372421
5	0.000727221	0.00211883	0.00465525
6	0.000872665	0.00254259	0.0055863
7	0.00101811	0.00296636	0.00651734
8	0.00116355	0.00339012	0.00744837
9	0.001309	0.00381388	0.0083794
10	0.00145444	0.00423764	0.00931043
11	0.00159989	0.0046614	0.0102414
12	0.00174533	0.00508516	0.0111725
13	0.00189077	0.00550891	0.0121035
14	0.00203622	0.00593266	0.0130345
15	0.00218166	0.00635642	0.0139654
16	0.00232711	0.00678016	0.0148964
17	0.00247255	0.00720391	0.0158274
18	0.00261799	0.00762765	0.0167583
19	0.00276344	0.0080514	0.0176893
20	0.00290888	0.00847514	0.0186202
21	0.00305433	0.00889887	0.0195511
22	0.00319977	0.0093226	0.020482
23	0.00334521	0.00974633	0.0214129
24	0.00349066	0.0101701	0.0223438
25	0.0036361	0.0105938	0.0232747
26	0.00378155	0.0110175	0.0242055
27	0.00392699	0.0114412	0.0251363
28	0.00407243	0.0118649	0.0260672
29	0.00421788	0.0122886	0.0269979
30	0.00436332	0.0127123	0.0279287
31	0.00450877	0.013136	0.0288595
32	0.00465421	0.0135597	0.0297902
33	0.00479966	0.0139834	0.0307209
34	0.0049451	0.0144071	0.0316516
35	0.00509054	0.0148308	0.0325823
36	0.00523599	0.0152545	0.0335129
37	0.00538143	0.0156781	0.0344436
38	0.00552688	0.0161018	0.0353742
39	0.00567232	0.0165255	0.0363048
40	0.00581776	0.0169491	0.0372353
41	0.00596321	0.0173728	0.0381658
42	0.00610865	0.0177964	0.0390963
43	0.0062541	0.01822	0.0400268
44	0.00639954	0.0186437	0.0409573
45	0.00654498	0.0190673	0.0418877
46	0.00669043	0.0194909	0.0428181
47	0.00683587	0.0199145	0.0437484
48	0.00698132	0.0203381	0.0446788
49	0.00712676	0.0207617	0.0456091
50	0.00727221	0.0211853	0.0465393
51	0.00741765	0.0216089	0.0474696
52	0.00756309	0.0220324	0.0483998
53	0.00770854	0.022456	0.04933
54	0.00785398	0.0228796	0.0502601
55	0.00799943	0.0233031	0.0511902
56	0.00814487	0.0237267	0.0521203
57	0.00829031	0.0241502	0.0530503
58	0.00843576	0.0245737	0.0539803
59	0.0085812	0.0249972	0.0549103
60	0.00872665	0.0254207	0.0558402
61	0.00887209	0.0258442	0.0567701
62	0.00901753	0.0262677	0.0576999
63	0.00916298	0.0266912	0.0586297
64	0.00930842	0.0271147	0.0595595
65	0.00945387	0.0275382	0.0604892
66	0.00959931	0.0279616	0.0614189
67	0.00974475	0.0283851	0.0623485
68	0.0098902	0.0288085	0.0632781
69	0.0100356	0.0292319	0.0642077
70	0.0101811	0.0296553	0.0651372
71	0.0103265	0.0300787	0.0660667
72	0.010472	0.0305021	0.0669961
73	0.0106174	0.0309255	0.0679255
74	0.0107629	0.0313489	0.0688548
75	0.0109083	0.0317723	0.0697841
76	0.0110538	0.0321956	0.0707133
77	0.0111992	0.0326189	0.0716425
78	0.0113446	0.0330423	0.0725716
79	0.0114901	0.0334656	0.0735007
80	0.0116355	0.0338889	0.0744297
81	0.011781	0.0343122	0.0753587
82	0.0119264	0.0347355	0.0762877
83	0.0120719	0.0351588	0.0772165
84	0.0122173	0.035582	0.0781454
85	0.0123627	0.0360053	0.0790741
86	0.0125082	0.0364285	0.0800029
87	0.0126536	0.0368517	0.0809315
88	0.0127991	0.0372749	0.0818601
89	0.0129445	0.0376981	0.0827887
90	0.01309	0.0381213	0.0837172
91	0.0132354	0.0385445	0.0846456
92	0.0133809	0.0389676	0.085574
93	0.0135263	0.0393908	0.0865023
94	0.0136717	0.0398139	0.0874306
95	0.0138172	0.040237	0.0883588
96	0.0139626	0.0406601	0.089287
97	0.0141081	0.0410832	0.0902151
98	0.0142535	0.0415063	0.0911431
99	0.014399	0.0419294	0.092071
100	0.0145444	0.0423524	0.0929989
101	0.0146899	0.0427755	0.0939268
102	0.0148353	0.0431985	0.0948545
103	0.0149807	0.0436215	0.0957822
104	0.0151262	0.0440445	0.0967099
105	0.0152716	0.0444674	0.0976375
106	0.0154171	0.0448904	0.098565
107	0.0155625	0.0453133	0.0994924
108	0.015708	0.0457363	0.10042
109	0.0158534	0.0461592	0.101347
110	0.0159989	0.0465821	0.102274
111	0.0161443	0.047005	0.103201
112	0.0162897	0.0474278	0.104129
113	0.0164352	0.0478507	0.105056
114	0.0165806	0.0482735	0.105983
115	0.0167261	0.0486963	0.106909
116	0.0168715	0.0491191	0.107836
117	0.017017	0.0495419	0.108763
118	0.0171624	0.0499647	0.10969
119	0.0173078	0.0503874	0.110616
120	0.0174533	0.0508101	0.111543
121	0.0175987	0.0512329	0.112469
122	0.0177442	0.0516556	0.113396
123	0.0178896	0.0520782	0.114322
124	0.0180351	0.0525009	0.115248
125	0.0181805	0.0529235	0.116174
126	0.018326	0.0533462	0.1171
127	0.0184714	0.0537688	0.118026
128	0.0186168	0.0541914	0.118952
129	0.0187623	0.0546139	0.119878
130	0.0189077	0.0550365	0.120804
131	0.0190532	0.055459	0.121729
132	0.0191986	0.0558815	0.122655
133	0.0193441	0.056304	0.12358
134	0.0194895	0.0567265	0.124506
135	0.019635	0.057149	0.125431
136	0.0197804	0.0575714	0.126356
137	0.0199258	0.0579938	0.127281
138	0.0200713	0.0584162	0.128206
139	0.0202167	0.0588386	0.129131
140	0.0203622	0.0592609	0.130056
141	0.0205076	0.0596833	0.130981
142	0.0206531	0.0601056	0.131906
143	0.0207985	0.0605279	0.13283
144	0.020944	0.0609502	0.133755
145	0.0210894	0.0613724	0.134679
146	0.0212348	0.0617947	0.135604
147	0.0213803	0.0622169	0.136528
148	0.0215257	0.0626391	0.137452
149	0.0216712	0.0630612	0.138376
150	0.0218166	0.0634834	0.1393
151	0.0219621	0.0639055	0.140224
152	0.0221075	0.0643276	0.141148
153	0.0222529	0.0647497	0.142071
154	0.0223984	0.0651718	0.142995
155	0.0225438	0.0655938	0.143918
156	0.0226893	0.0660158	0.144842
157	0.0228347	0.0664378	0.145765
158	0.0229802	0.0668598	0.146688
159	0.0231256	0.0672818	0.147611
160	0.0232711	0.0677037	0.148534
161	0.0234165	0.0681256	0.149457
162	0.0235619	0.0685475	0.15038
163	0.0237074	0.0689693	0.151303
164	0.0238528	0.0693912	0.152225
165	0.0239983	0.069813	0.153148
166	0.0241437	0.0702348	0.15407
167	0.0242892	0.0706565	0.154992
168	0.0244346	0.0710783	0.155915
169	0.0245801	0.0715	0.156837
170	0.0247255	0.0719217	0.157759
171	0.0248709	0.0723433	0.15868
172	0.0250164	0.072765	0.159602
173	0.0251618	0.0731866	0.160524
174	0.0253073	0.0736082	0.161445
175	0.0254527	0.0740298	0.162367
176	0.0255982	0.0744513	0.163288
177	0.0257436	0.0748728	0.164209
178	0.0258891	0.0752943	0.16513
179	0.0260345	0.0757158	0.166051
180	0.0261799	0.0761372	0.166972
181	0.0263254	0.0765587	0.167893
182	0.0264708	0.0769801	0.168814
183	0.0266163	0.0774014	0.169734
184	0.0267617	0.0778228	0.170655
185	0.0269072	0.0782441	0.171575
186	0.0270526	0.0786654	0.172495
187	0.027198	0.0790866	0.173415
188	0.0273435	0.0795078	0.174335
189	0.0274889	0.0799291	0.175255
190	0.0276344	0.0803502	0.176175
191	0.0277798	0.0807714	0.177094
192	0.0279253	0.0811925	0.178014
193	0.0280707	0.0816136	0.178933
194	0.0282162	0.0820347	0.179852
195	0.0283616	0.0824557	0.180772
196	0.028507	0.0828767	0.181691
197	0.0286525	0.0832977	0.182609
198	0.0287979	0.0837187	0.183528
199	0.0289434	0.0841396	0.184447
200	0.0290888	0.0845605	0.185365
201	0.0292343	0.0849814	0.186284
202	0.0293797	0.0854022	0.187202
203	0.0295252	0.0858231	0.18812
204	0.0296706	0.0862438	0.189038
205	0.029816	0.0866646	0.189956
206	0.0299615	0.0870853	0.190874
207	0.0301069	0.087506	0.191791
208	0.0302524	0.0879267	0.192709
209	0.0303978	0.0883473	0.193626
210	0.0305433	0.088768	0.194544
211	0.0306887	0.0891885	0.195461
212	0.0308342	0.0896091	0.196378
213	0.0309796	0.0900296	0.197294
214	0.031125	0.0904501	0.198211
215	0.0312705	0.0908706	0.199128
216	0.0314159	0.091291	0.200044
217	0.0315614	0.0917114	0.200961
218	0.0317068	0.0921318	0.201877
219	0.0318523	0.0925521	0.202793
220	0.0319977	0.0929724	0.203709
221	0.0321431	0.0933927	0.204625
222	0.0322886	0.0938129	0.20554
223	0.032434	0.0942332	0.206456
224	0.0325795	0.0946533	0.207371
225	0.0327249	0.0950735	0.208286
226	0.0328704	0.0954936	0.209201
227	0.0330158	0.0959137	0.210116
228	0.0331613	0.0963338	0.211031
229	0.0333067	0.0967538	0.211946
230	0.0334521	0.0971738	0.21286
231	0.0335976	0.0975937	0.213775
232	0.033743	0.0980137	0.214689
233	0.0338885	0.0984336	0.215603
234	0.0340339	0.0988534	0.216517
235	0.0341794	0.0992732	0.217431
236	0.0343248	0.099693	0.218345
237	0.0344703	0.100113	0.219258
238	0.0346157	0.100533	0.220172
239	0.0347611	0.100952	0.221085
240	0.0349066	0.101372	0.221998
241	0.035052	0.101792	0.222911
242	0.0351975	0.102211	0.223824
243	0.0353429	0.102631	0.224736
244	0.0354884	0.10305	0.225649
245	0.0356338	0.10347	0.226561
246	0.0357792	0.103889	0.227473
247	0.0359247	0.104309	0.228385
248	0.0360701	0.104728	0.229297
249	0.0362156	0.105147	0.230209
250	0.036361	0.105567	0.231121
251	0.0365065	0.105986	0.232032
252	0.0366519	0.106405	0.232943
253	0.0367974	0.106824	0.233855
254	0.0369428	0.107244	0.234766
255	0.0370882	0.107663	0.235676
256	0.0372337	0.108082	0.236587
257	0.0373791	0.108501	0.237498
258	0.0375246	0.10892	0.238408
259	0.03767	0.109339	0.239318
260	0.0378155	0.109758	0.240228
261	0.0379609	0.110177	0.241138
262	0.0381064	0.110596	0.242048
263	0.0382518	0.111014	0.242958
264	0.0383972	0.111433	0.243867
265	0.0385427	0.111852	0.244776
266	0.0386881	0.112271	0.245685
267	0.0388336	0.11269	0.246594
268	0.038979	0.113108	0.247503
269	0.0391245	0.113527	0.248412
270	0.0392699	0.113945	0.24932
271	0.0394154	0.114364	0.250228
272	0.0395608	0.114782	0.251136
273	0.0397062	0.115201	0.252044
274	0.0398517	0.115619	0.252952
275	0.0399971	0.116038	0.25386
276	0.0401426	0.116456	0.254767
277	0.040288	0.116874	0.255675
278	0.0404335	0.117293	0.256582
279	0.0405789	0.117711	0.257489
280	0.0407243	0.118129	0.258395
281	0.0408698	0.118547	0.259302
282	0.0410152	0.118966	0.260209
283	0.0411607	0.119384	0.261115
284	0.0413061	0.119802	0.262021
285	0.0414516	0.12022	0.262927
286	0.041597	0.120638	0.263833
287	0.0417425	0.121056	0.264738
288	0.0418879	0.121473	0.265644
289	0.0420333	0.121891	0.266549
290	0.0421788	0.122309	0.267454
291	0.0423242	0.122727	0.268359
292	0.0424697	0.123145	0.269264
293	0.0426151	0.123562	0.270168
294	0.0427606	0.12398	0.271073
295	0.042906	0.124398	0.271977
296	0.0430515	0.124815	0.272881
297	0.0431969	0.125233	0.273785
298	0.0433423	0.12565	0.274688
299	0.0434878	0.126068	0.275592
300	0.0436332	0.126485	0.276495
301	0.0437787	0.126902	0.277398
302	0.0439241	0.12732	0.278301
303	0.0440696	0.127737	0.279204
304	0.044215	0.128154	0.280107
305	0.0443605	0.128571	0.281009
306	0.0445059	0.128989	0.281911
307	0.0446513	0.129406	0.282813
308	0.0447968	0.129823	0.283715
309	0.0449422	0.13024	0.284617
310	0.0450877	0.130657	0.285518
311	0.0452331	0.131074	0.28642
312	0.0453786	0.131491	0.287321
313	0.045524	0.131908	0.288222
314	0.0456694	0.132324	0.289123
315	0.0458149	0.132741	0.290023
316	0.0459603	0.133158	0.290924
317	0.0461058	0.133575	0.291824
318	0.0462512	0.133991	0.292724
319	0.0463967	0.134408	0.293624
320	0.0465421	0.134824	0.294523
321	0.0466876	0.135241	0.295423
322	0.046833	0.135657	0.296322
323	0.0469784	0.136074	0.297221
324	0.0471239	0.13649	0.29812
325	0.0472693	0.136906	0.299019
326	0.0474148	0.137323	0.299917
327	0.0475602	0.137739	0.300815
328	0.0477057	0.138155	0.301713
